SeedDiff,DGames,DWins,DLoss,DWLpct,DSRS,DSOS,DConfW,DConfL,DPnts,DOppPnts,DFG,DFGA,DFGpct,DThreeP,DThreePA,DThreePpct,DFT,DFTA,DFTpct,DTRB,DAST,DSTL,DBLK,DTOV,winner
-15,1,11,-10,0.308,32.35,14.95,5,-3,423,-85,209,357,0.021,-68,-43,-0.064,73,176,-0.084,379,158,163,150,97,1
-1,1,2,-1,0.039,0.11,-1.9,3,-3,50,-22,36,159,-0.021,18,149,-0.047,-40,-115,0.053,35,33,77,6,79,0
-7,-1,-5,4,-0.127,12.05,14.75,-4,6,36,248,-10,52,-0.019,-16,-64,0.01,72,139,-0.056,70,-37,50,73,66,0
-9,-3,1,-4,0.093,14.51,5.92,2,-2,21,-244,-12,-267,0.058,106,127,0.086,-61,-248,0.16,-349,37,-35,-68,-83,1
-5,1,-4,5,-0.151,8.18,14.09,-3,5,-427,-208,-180,-199,-0.045,-93,-213,-0.021,26,27,0.01,47,-193,-73,34,60,1
-11,3,4,-1,0.054,11.68,10.51,6,-2,251,214,46,234,-0.036,-3,80,-0.049,162,202,0.018,122,-75,119,12,39,1
-3,-1,-1,0,-0.012,5.68,0.56,1,-3,53,-114,-12,-14,-0.003,107,280,0.021,-30,-138,0.096,2,-62,-16,-39,0,0
-13,0,8,-8,0.236,25.89,13.77,7,-5,416,19,154,122,0.052,51,103,0.018,57,26,0.057,221,235,-5,58,7,1
-15,0,10,-10,0.303,34.21,12.68,4,-6,443,-205,186,163,0.054,3,74,-0.038,68,57,0.036,190,128,-4,58,-101,1
-1,1,1,0,0.012,1.81,2.25,0,0,8,18,-29,2,-0.016,8,46,-0.01,58,79,0.007,-76,-47,77,6,-14,0
-7,2,-3,5,-0.144,7.42,12,-4,4,-17,179,-69,5,-0.037,69,96,0.045,52,51,0.021,77,-111,-76,-1,79,0
-9,1,0,1,-0.024,13.52,15.29,-1,3,108,215,38,150,-0.016,-2,31,-0.017,34,56,-0.011,110,48,51,12,98,1
-5,2,9,-7,0.224,5.54,-3.53,4,-4,398,60,182,329,0.016,93,288,-0.005,-59,-110,0.02,112,138,50,35,-32,1
-11,-2,0,-2,0.048,16.9,10.84,1,-1,-351,-441,-119,-212,-0.009,-69,-193,0.002,-44,-122,0.063,-167,-152,20,21,-28,1
-3,-1,10,-11,0.32,0.86,-8.52,6,-6,341,36,91,36,0.039,15,3,0.016,144,212,-0.01,93,78,-40,3,-62,0
-13,0,2,-2,0.059,21.19,16.71,-1,1,-217,-332,-77,26,-0.047,-8,44,-0.032,-55,-86,0.008,49,-23,-13,42,-108,1
-15,-2,6,-8,0.23,29.67,15.25,5,-4,-363,-635,-113,-197,-0.01,-1,-34,0.018,-136,-217,0.035,-57,-28,-53,23,-102,1
-1,0,1,-1,0.031,-1.48,-3.57,3,-3,136,69,17,-20,0.014,49,109,0.016,53,-1,0.092,-105,53,44,17,15,0
-7,-2,0,-2,0.04,6.29,6.2,4,-2,-188,-176,-32,-85,0.003,-31,-133,0.023,-93,-79,-0.07,-49,-46,-103,-10,-98,0
-9,-2,-5,3,-0.099,9.93,12.21,-1,3,-379,-261,-161,-240,-0.028,-5,34,-0.025,-52,-49,-0.032,-304,-9,52,-73,-40,0
-5,1,3,-2,0.068,2.42,3.59,2,0,126,157,-36,62,-0.035,116,375,-0.025,82,126,-0.018,53,153,-14,19,24,1
-11,-2,-3,1,-0.046,17.38,13.46,3,-1,186,71,51,-40,0.035,53,123,0.011,31,-15,0.072,-144,27,18,-26,-58,1
-3,1,6,-5,0.157,0.13,-4.71,4,-6,-146,-315,-18,59,-0.023,-41,-93,-0.011,-69,-57,-0.036,53,-62,6,45,-43,0
-13,0,5,-5,0.147,21.45,14.68,2,-2,203,-47,84,100,0.017,-72,-142,-0.026,107,125,0.021,68,88,-7,64,-63,1
-15,1,10,-9,0.287,30.3,18.4,4,-4,381,-13,188,365,0.011,7,-12,0.014,-2,-3,0.001,323,207,20,28,38,1
-1,0,2,-2,0.059,0.91,-5.58,0,0,318,82,105,138,0.021,13,18,0.009,93,79,0.053,292,186,-94,-51,-24,0
-7,1,-4,5,-0.139,10.23,12.78,-4,6,128,203,19,94,-0.011,77,100,0.041,13,-18,0.038,-92,0,139,79,21,1
-9,1,2,-1,0.038,13.23,13.76,-2,2,52,64,64,217,-0.02,-76,-128,-0.038,0,47,-0.054,245,-20,30,63,73,1
-5,1,4,-3,0.1,3.7,-1.99,1,-3,335,138,154,170,0.04,39,63,0.022,-12,-15,-0.002,54,48,43,75,-46,0
-11,1,7,-6,0.185,15.13,3.5,3,-3,28,-325,17,122,-0.02,-11,35,-0.029,5,-30,0.039,308,93,-44,-4,2,1
-3,0,9,-9,0.273,2.41,-8.81,9,-9,299,-194,134,63,0.052,133,160,0.092,-102,-137,-0.009,-5,60,-4,-30,-51,1
-13,0,0,0,0,23.03,18.54,1,-1,74,77,-2,-23,0.004,-47,-90,-0.022,125,148,0.025,179,-57,-89,77,20,1
